Variable,Data_μ,Data_σ,Sim_μ,Sim_σ,KS_stat,KS_pval,N_Data,N_Sim
delta (%),-1.2322243158968522,4.448715281600777,-0.27481925,4.590799,0.13460965391681123,0.0,39300,334304
xptar (rad),-0.0013236846441954649,0.03538918363501534,0.0007664663,0.037206743,0.0481187390507159,1.6178116587629428e-79,39300,334304
yptar (rad),0.007205806361120089,0.014332341781915978,0.0017835232,0.014504989,0.19521188166372172,0.0,39300,334304
ytar (cm),-0.3298071186822302,1.1384983106843765,-0.1863281,0.95237833,0.1359469412463204,0.0,39300,334304
xfp (cm),-4.804037963110867,16.796317806999586,-1.4370819,17.398773,0.11582655593783892,0.0,39300,334304
yfp (cm),0.18826658203342944,5.736578959757114,0.5092571,5.59999,0.03317282817635436,5.229271794488643e-38,39300,334304
xpfp (rad),-0.005763245162699217,0.021409121290402417,-0.0022563715,0.022151357,0.082981804179252,7.254168165696752e-236,39300,334304
ypfp (rad),-0.002132174884310812,0.0077255930126213035,-0.00022188795,0.0072592874,0.11719453887892872,0.0,39300,334304
