Run 3389: Mean_no_cut = 0.9948, Mean_PID = 0.9954, Mean_PID_Delta = 0.9962, Sigma_cut = 0.0285, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0256
Run 6868: Mean_no_cut = 1.0015, Mean_PID = 1.0017, Mean_PID_Delta = 1.0013, Sigma_cut = 0.0282, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0261
Run 4655: Mean_no_cut = 0.9972, Mean_PID = 1.0005, Mean_PID_Delta = 1.0004, Sigma_cut = 0.0301, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0260
Run 5990: Mean_no_cut = 1.0014, Mean_PID = 1.0036, Mean_PID_Delta = 1.0037, Sigma_cut = 0.0297, Sigma_PID = 0.0286, Sigma_PID_Delta = 0.0271
Run 2204: Mean_no_cut = 1.0037, Mean_PID = 1.0043, Mean_PID_Delta = 1.0058, Sigma_cut = 0.0301, Sigma_PID = 0.0295, Sigma_PID_Delta = 0.0279
Run 4072: Mean_no_cut = 1.0018, Mean_PID = 1.0020, Mean_PID_Delta = 1.0021, Sigma_cut = 0.0282, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0261
Run 6741: Mean_no_cut = 0.9989, Mean_PID = 1.0024, Mean_PID_Delta = 1.0020, Sigma_cut = 0.0290, Sigma_PID = 0.0274, Sigma_PID_Delta = 0.0254
Run 3028: Mean_no_cut = 0.9982, Mean_PID = 0.9986, Mean_PID_Delta = 0.9976, Sigma_cut = 0.0281, Sigma_PID = 0.0273, Sigma_PID_Delta = 0.0255
Run 6692: Mean_no_cut = 0.9748, Mean_PID = 0.9997, Mean_PID_Delta = 0.9994, Sigma_cut = 0.0496, Sigma_PID = 0.0280, Sigma_PID_Delta = 0.0264
Run 6909: Mean_no_cut = 1.0018, Mean_PID = 1.0020, Mean_PID_Delta = 1.0016, Sigma_cut = 0.0279, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0258
Run 6742: Mean_no_cut = 0.9990, Mean_PID = 1.0021, Mean_PID_Delta = 1.0017, Sigma_cut = 0.0289, Sigma_PID = 0.0272, Sigma_PID_Delta = 0.0253
Run 6201: Mean_no_cut = 1.0003, Mean_PID = 1.0007, Mean_PID_Delta = 1.0005, Sigma_cut = 0.0284, Sigma_PID = 0.0277, Sigma_PID_Delta = 0.0260
Run 5425: Mean_no_cut = 1.0006, Mean_PID = 1.0013, Mean_PID_Delta = 1.0011, Sigma_cut = 0.0287, Sigma_PID = 0.0280, Sigma_PID_Delta = 0.0263
Run 3953: Mean_no_cut = 1.0012, Mean_PID = 1.0016, Mean_PID_Delta = 1.0015, Sigma_cut = 0.0283, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0259
Run 2541: Mean_no_cut = 1.0010, Mean_PID = 1.0013, Mean_PID_Delta = 1.0015, Sigma_cut = 0.0291, Sigma_PID = 0.0286, Sigma_PID_Delta = 0.0270
Run 6582: Mean_no_cut = 0.9983, Mean_PID = 1.0014, Mean_PID_Delta = 1.0008, Sigma_cut = 0.0293, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0256
Run 6427: Mean_no_cut = 0.9992, Mean_PID = 1.0013, Mean_PID_Delta = 1.0006, Sigma_cut = 0.0292, Sigma_PID = 0.0273, Sigma_PID_Delta = 0.0252
Run 6954: Mean_no_cut = 1.0001, Mean_PID = 1.0031, Mean_PID_Delta = 1.0028, Sigma_cut = 0.0295, Sigma_PID = 0.0271, Sigma_PID_Delta = 0.0250
Run 3258: Mean_no_cut = 1.0005, Mean_PID = 0.9999, Mean_PID_Delta = 1.0008, Sigma_cut = 0.0283, Sigma_PID = 0.0288, Sigma_PID_Delta = 0.0262
Run 6691: Mean_no_cut = 0.9690, Mean_PID = 0.9998, Mean_PID_Delta = 0.9994, Sigma_cut = 0.0518, Sigma_PID = 0.0282, Sigma_PID_Delta = 0.0261
Run 6991: Mean_no_cut = 1.0013, Mean_PID = 1.0015, Mean_PID_Delta = 1.0012, Sigma_cut = 0.0279, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0257
Run 6495: Mean_no_cut = 0.9698, Mean_PID = 1.0008, Mean_PID_Delta = 1.0006, Sigma_cut = 0.0448, Sigma_PID = 0.0296, Sigma_PID_Delta = 0.0267
Run 6188: Mean_no_cut = 1.0002, Mean_PID = 1.0005, Mean_PID_Delta = 1.0002, Sigma_cut = 0.0281, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 3162: Mean_no_cut = 0.9988, Mean_PID = 0.9992, Mean_PID_Delta = 0.9995, Sigma_cut = 0.0279, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0256
Run 6923: Mean_no_cut = 1.0017, Mean_PID = 1.0020, Mean_PID_Delta = 1.0015, Sigma_cut = 0.0281, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0255
Run 4110: Mean_no_cut = 1.0018, Mean_PID = 1.0020, Mean_PID_Delta = 1.0021, Sigma_cut = 0.0282, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0261
