Run 6869: Mean_no_cut = 1.0014, Mean_PID = 1.0016, Mean_PID_Delta = 1.0012, Sigma_cut = 0.0282, Sigma_PID = 0.0277, Sigma_PID_Delta = 0.0260
Run 2587: Mean_no_cut = 1.0011, Mean_PID = 1.0016, Mean_PID_Delta = 1.0020, Sigma_cut = 0.0295, Sigma_PID = 0.0289, Sigma_PID_Delta = 0.0275
Run 6769: Mean_no_cut = 1.0001, Mean_PID = 1.0026, Mean_PID_Delta = 1.0022, Sigma_cut = 0.0289, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 1536: Mean_no_cut = 0.9917, Mean_PID = 0.9919, Mean_PID_Delta = 0.9917, Sigma_cut = 0.0318, Sigma_PID = 0.0313, Sigma_PID_Delta = 0.0290
Run 6992: Mean_no_cut = 1.0014, Mean_PID = 1.0016, Mean_PID_Delta = 1.0014, Sigma_cut = 0.0279, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 6909: Mean_no_cut = 1.0018, Mean_PID = 1.0020, Mean_PID_Delta = 1.0015, Sigma_cut = 0.0279, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 6957: Mean_no_cut = 1.0009, Mean_PID = 1.0037, Mean_PID_Delta = 1.0035, Sigma_cut = 0.0295, Sigma_PID = 0.0272, Sigma_PID_Delta = 0.0253
Run 6884: Mean_no_cut = 1.0010, Mean_PID = 1.0014, Mean_PID_Delta = 1.0007, Sigma_cut = 0.0283, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 6921: Mean_no_cut = 1.0020, Mean_PID = 1.0022, Mean_PID_Delta = 1.0019, Sigma_cut = 0.0279, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 6841: Mean_no_cut = 1.0018, Mean_PID = 1.0028, Mean_PID_Delta = 1.0015, Sigma_cut = 0.0305, Sigma_PID = 0.0290, Sigma_PID_Delta = 0.0265
Run 1540: Mean_no_cut = 0.9938, Mean_PID = 0.9949, Mean_PID_Delta = 0.9953, Sigma_cut = 0.0314, Sigma_PID = 0.0302, Sigma_PID_Delta = 0.0288
Run 6868: Mean_no_cut = 1.0015, Mean_PID = 1.0017, Mean_PID_Delta = 1.0013, Sigma_cut = 0.0282, Sigma_PID = 0.0277, Sigma_PID_Delta = 0.0261
Run 6956: Mean_no_cut = 1.0006, Mean_PID = 1.0033, Mean_PID_Delta = 1.0031, Sigma_cut = 0.0295, Sigma_PID = 0.0273, Sigma_PID_Delta = 0.0254
Run 6908: Mean_no_cut = 1.0019, Mean_PID = 1.0021, Mean_PID_Delta = 1.0017, Sigma_cut = 0.0280, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 6920: Mean_no_cut = 1.0021, Mean_PID = 1.0023, Mean_PID_Delta = 1.0020, Sigma_cut = 0.0279, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0256
Run 6885: Mean_no_cut = 1.0011, Mean_PID = 1.0014, Mean_PID_Delta = 1.0007, Sigma_cut = 0.0281, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 4450: Mean_no_cut = 1.0025, Mean_PID = 1.0028, Mean_PID_Delta = 1.0027, Sigma_cut = 0.0284, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0260
Run 3389: Mean_no_cut = 0.9948, Mean_PID = 0.9954, Mean_PID_Delta = 0.9962, Sigma_cut = 0.0285, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0256
Run 6740: Mean_no_cut = 0.9985, Mean_PID = 1.0013, Mean_PID_Delta = 1.0006, Sigma_cut = 0.0286, Sigma_PID = 0.0273, Sigma_PID_Delta = 0.0253
Run 6955: Mean_no_cut = 1.0005, Mean_PID = 1.0033, Mean_PID_Delta = 1.0030, Sigma_cut = 0.0294, Sigma_PID = 0.0272, Sigma_PID_Delta = 0.0253
Run 1534: Mean_no_cut = 0.9897, Mean_PID = 0.9898, Mean_PID_Delta = 0.9878, Sigma_cut = 0.0341, Sigma_PID = 0.0330, Sigma_PID_Delta = 0.0294
Run 6990: Mean_no_cut = 1.0012, Mean_PID = 1.0014, Mean_PID_Delta = 1.0011, Sigma_cut = 0.0279, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0257
Run 6690: Mean_no_cut = 0.9984, Mean_PID = 1.0013, Mean_PID_Delta = 1.0008, Sigma_cut = 0.0292, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 5424: Mean_no_cut = 1.0004, Mean_PID = 1.0015, Mean_PID_Delta = 1.0013, Sigma_cut = 0.0292, Sigma_PID = 0.0283, Sigma_PID_Delta = 0.0266
Run 6843: Mean_no_cut = 1.0013, Mean_PID = 1.0023, Mean_PID_Delta = 1.0012, Sigma_cut = 0.0303, Sigma_PID = 0.0287, Sigma_PID_Delta = 0.0262
Run 6200: Mean_no_cut = 0.9999, Mean_PID = 1.0005, Mean_PID_Delta = 1.0002, Sigma_cut = 0.0283, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0256
Run 6886: Mean_no_cut = 1.0011, Mean_PID = 1.0014, Mean_PID_Delta = 1.0007, Sigma_cut = 0.0280, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 3162: Mean_no_cut = 0.9988, Mean_PID = 0.9992, Mean_PID_Delta = 0.9995, Sigma_cut = 0.0279, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0256
Run 5992: Mean_no_cut = 1.0009, Mean_PID = 1.0030, Mean_PID_Delta = 1.0029, Sigma_cut = 0.0292, Sigma_PID = 0.0280, Sigma_PID_Delta = 0.0264
Run 6349: Mean_no_cut = 1.0000, Mean_PID = 1.0004, Mean_PID_Delta = 1.0001, Sigma_cut = 0.0282, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0259
Run 6954: Mean_no_cut = 1.0001, Mean_PID = 1.0031, Mean_PID_Delta = 1.0028, Sigma_cut = 0.0295, Sigma_PID = 0.0271, Sigma_PID_Delta = 0.0250
Run 6991: Mean_no_cut = 1.0013, Mean_PID = 1.0015, Mean_PID_Delta = 1.0012, Sigma_cut = 0.0279, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0257
Run 1535: Mean_no_cut = 0.9905, Mean_PID = 0.9907, Mean_PID_Delta = 0.9898, Sigma_cut = 0.0327, Sigma_PID = 0.0320, Sigma_PID_Delta = 0.0292
