6888,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000
4226,1.0004,1.0007,1.0004,,0.0284,0.0279,0.0263
1539,0.9940,0.9949,0.9955,,0.0315,0.0304,0.0290
6475,0.9979,1.0013,1.0005,,0.0286,0.0273,0.0255
6958,1.0010,1.0035,1.0033,,0.0292,0.0273,0.0254
6906,1.0018,1.0019,1.0015,,0.0280,0.0276,0.0258
2848,0.9974,0.9976,0.9973,,0.0283,0.0279,0.0261
7009,1.0020,1.0023,1.0019,,0.0279,0.0274,0.0255
6403,1.0002,1.0006,1.0000,,0.0281,0.0275,0.0258
6970,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000
5904,0.9985,1.0014,1.0012,,0.0291,0.0278,0.0260
6810,1.0000,1.0020,1.0014,,0.0286,0.0274,0.0255
2976,0.9992,0.9996,0.9989,,0.0293,0.0287,0.0272
6185,1.0011,1.0015,1.0015,,0.0289,0.0283,0.0268
6867,1.0015,1.0017,1.0013,,0.0281,0.0276,0.0258
5560,1.0003,1.0029,1.0030,,0.0292,0.0278,0.0261
6907,1.0019,1.0021,1.0017,,0.0280,0.0276,0.0258
6959,1.0011,1.0035,1.0033,,0.0293,0.0273,0.0253
6971,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000
4972,0.9999,1.0009,1.0006,,0.0297,0.0287,0.0272
4561,0.9987,0.9989,0.9980,,0.0287,0.0281,0.0265
6811,1.0001,1.0022,1.0015,,0.0286,0.0274,0.0256
5428,1.0004,1.0011,1.0008,,0.0287,0.0280,0.0262
5511,0.9993,0.9998,0.9998,,0.0299,0.0291,0.0270
6976,1.0009,1.0010,1.0007,,0.0278,0.0275,0.0258
5052,0.9984,0.9996,0.9988,,0.0293,0.0280,0.0262
6928,1.0016,1.0018,1.0014,,0.0280,0.0275,0.0257
6816,1.0002,1.0027,1.0023,,0.0293,0.0278,0.0262
5097,0.9985,0.9996,0.9988,,0.0293,0.0280,0.0262
6860,1.0026,1.0033,1.0031,,0.0293,0.0285,0.0270
6900,1.0013,1.0015,1.0014,,0.0279,0.0275,0.0258
6600,0.9980,1.0011,1.0004,,0.0292,0.0273,0.0255
6929,1.0017,1.0019,1.0015,,0.0280,0.0275,0.0257
5903,0.9989,1.0020,1.0019,,0.0295,0.0282,0.0265
6817,0.9997,1.0022,1.0017,,0.0293,0.0280,0.0263
5975,0.9987,1.0017,1.0016,,0.0290,0.0277,0.0260
6861,1.0029,1.0036,1.0035,,0.0292,0.0285,0.0269
2767,0.9977,0.9979,0.9973,,0.0281,0.0277,0.0259
2057,0.9998,1.0007,1.0026,,0.0326,0.0316,0.0301
5600,1.0000,1.0027,1.0026,,0.0292,0.0278,0.0260
6814,1.0001,1.0026,1.0022,,0.0289,0.0274,0.0256
6974,1.0009,1.0011,1.0008,,0.0279,0.0276,0.0259
3400,0.9953,0.9959,0.9968,,0.0286,0.0278,0.0256
5255,0.9992,1.0002,0.9997,,0.0288,0.0278,0.0260
3788,0.9983,0.9985,0.9982,,0.0279,0.0276,0.0260
6902,1.0013,1.0014,1.0013,,0.0279,0.0276,0.0259
6999,1.0013,1.0015,1.0012,,0.0280,0.0276,0.0257
6862,1.0024,1.0035,1.0035,,0.0295,0.0284,0.0269
6815,0.9998,1.0023,1.0018,,0.0287,0.0272,0.0253
6975,1.0014,1.0015,1.0015,,0.0279,0.0275,0.0258
2023,0.9998,1.0002,1.0021,,0.0320,0.0315,0.0300
6903,1.0013,1.0014,1.0013,,0.0279,0.0276,0.0258
5182,0.9989,0.9998,0.9990,,0.0290,0.0280,0.0261
6863,1.0020,1.0030,1.0027,,0.0290,0.0280,0.0264
5977,0.9703,1.0018,1.0017,,0.0576,0.0291,0.0274
6998,1.0010,1.0012,1.0009,,0.0280,0.0275,0.0257
4394,0.9998,1.0000,0.9995,,0.0285,0.0279,0.0262
5155,0.9989,0.9999,0.9991,,0.0291,0.0280,0.0262
6871,1.0013,1.0015,1.0009,,0.0281,0.0277,0.0259
2019,0.9992,0.9995,1.0012,,0.0320,0.0315,0.0299
3150,0.9982,0.9985,0.9989,,0.0280,0.0276,0.0258
6911,1.0019,1.0021,1.0017,,0.0279,0.0275,0.0258
3828,0.9992,0.9994,0.9994,,0.0280,0.0277,0.0260
4247,1.0002,1.0005,1.0002,,0.0286,0.0280,0.0263
6859,1.0030,1.0037,1.0036,,0.0295,0.0288,0.0273
6807,1.0003,1.0023,1.0018,,0.0287,0.0275,0.0257
3801,0.9980,0.9981,0.9978,,0.0280,0.0276,0.0259
4500,1.0018,1.0021,1.0020,,0.0283,0.0277,0.0260
6870,1.0013,1.0015,1.0010,,0.0281,0.0276,0.0260
6910,1.0019,1.0021,1.0017,,0.0279,0.0275,0.0258
4350,1.0003,1.0005,1.0001,,0.0286,0.0281,0.0264
2800,0.9979,0.9981,0.9976,,0.0282,0.0278,0.0261
2195,1.0023,1.0043,1.0058,,0.0305,0.0295,0.0280
6806,0.9996,1.0020,1.0014,,0.0288,0.0274,0.0255
6858,1.0027,1.0037,1.0037,,0.0298,0.0289,0.0275
4246,1.0002,1.0006,1.0003,,0.0286,0.0280,0.0263
6913,1.0017,1.0020,1.0015,,0.0281,0.0274,0.0256
1661,0.9940,0.9942,0.9952,,0.0319,0.0316,0.0303
5244,0.9998,1.0004,1.0000,,0.0285,0.0278,0.0260
6873,1.0011,1.0013,1.0008,,0.0280,0.0276,0.0259
1572,0.9936,0.9940,0.9946,,0.0309,0.0302,0.0287
6988,1.0013,1.0015,1.0012,,0.0280,0.0275,0.0257
1801,1.0006,1.0010,1.0031,,0.0330,0.0325,0.0312
6805,0.9996,1.0021,1.0014,,0.0288,0.0274,0.0256
4245,1.0003,1.0006,1.0002,,0.0286,0.0280,0.0263
6965,1.0015,1.0016,1.0015,,0.0279,0.0275,0.0258
6912,1.0021,1.0023,1.0019,,0.0280,0.0274,0.0255
6989,1.0012,1.0014,1.0011,,0.0280,0.0276,0.0257
6872,1.0012,1.0014,1.0008,,0.0280,0.0276,0.0259
