Cut Set,X Range (cm),Y Range (cm),Events Passing,Total Events,Efficiency,Error (%)
Loose (ROOT bounds),"[-32.0, 32.0]","[-38.0, 38.0]",202247,500000,40.4494%,0.0694%
Strict (nps_helper.h),"[-28.0, 28.0]","[-34.0, 34.0]",137117,500000,27.4234%,0.0631%
