new_kin   , kin_old     , target, ebeam_gev, hms_p_gev, hms_theta_deg, nps_theta_deg, nps_target_distance_cm, simc_spec_p_p_gev, simc_ngen, simc_target_x_offset_cm, simc_target_y_offset_cm, simc_target_z_offset_cm, simc_spec_e_p_offset_gev, simc_spec_e_theta_offset_deg, simc_hms_xptar_offset_mrad, simc_spec_p_x_offset_cm, simc_spec_p_y_offset_cm, simc_spec_p_z_offset_cm, geant4_nps_x_offset_cm, geant4_nps_y_offset_cm, geant4_nps_z_offset_cm, source_run, source_simc_infile                                                        , selection_rule                                                                                        , last_generated_utc
x36_q40_p5, KinC_x36_5p , LH2   , 10.538000,  4.637000,     16.440000,     14.000000,             407.000000,          5.901000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       3991, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
unknown   , KinC_x36_6  , LH2   , 10.538000,  2.416000,     26.860000,      7.500000,             407.000000,          8.122000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       4589, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x48_q33_p3, KinC_x50_0  , LH2   ,  6.368000,  2.638000,     25.930000,     14.410000,             307.000000,          3.730000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       5425, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x48_q33_p3, KinC_x50_0a , LH2   ,  6.368000,  2.638000,     25.930000,     14.010000,             407.000000,          3.730000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       5237, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x48_q33_p3, KinC_x50_0b , LH2   ,  6.368000,  2.638000,     25.930000,     17.620000,             407.000000,          3.730000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       5280, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x48_q33_p4, KinC_x50_1  , LH2   ,  8.458000,  4.726000,     16.750000,     18.980000,             307.000000,          3.732000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       3150, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x48_q33_p4, KinC_x50_1p , LH2   ,  8.458000,  4.726000,     16.750000,     17.080000,             307.000000,          3.732000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       3119, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x48_q33_p5, KinC_x50_2  , LH2   , 10.538000,  6.667000,     12.490000,     20.580000,             307.000000,          3.871000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       1677, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x48_q33_p5, KinC_x50_2p , LH2   , 10.538000,  6.667000,     12.480000,     19.150000,             407.000000,          3.871000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       3784, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x48_q33_p5, KinC_x50_2pp, LH2   , 10.538000,  6.667000,     12.480000,     21.700000,             407.000000,          3.871000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       3808, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x48_q48_p5, KinC_x50_3  , LH2   , 10.538000,  5.253000,     16.910000,     15.450000,             307.000000,          5.285000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       2325, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x48_q48_p5, KinC_x50_3p , LH2   , 10.539000,  5.253000,     16.930000,     13.430000,             407.000000,          5.286000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       3900, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x48_q48_p5, KinC_x50_3pp, LH2   , 10.537000,  5.253000,     16.930000,     16.880000,             407.000000,          5.284000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       3944, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x58_q51_p3, KinC_x60_1  , LH2   ,  6.368000,  1.719000,     39.810000,     14.400000,             357.000000,          4.649000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       5524, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x58_q51_p4, KinC_x60_2  , LH2   ,  8.454000,  3.803000,     22.920000,     16.580000,             307.000000,          4.651000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       3403, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x58_q51_p4, KinC_x60_2b , LH2   ,  8.455000,  3.805000,     22.940000,     16.560000,             357.000000,          4.650000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       6187, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x58_q51_p4, KinC_x60_2p , LH2   ,  8.454000,  3.803000,     22.920000,     12.460000,             307.000000,          4.651000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       3420, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x58_q51_p5, KinC_x60_3  , LH2   , 10.539000,  5.878000,     16.470000,     18.720000,             307.000000,          4.661000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       1760, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x58_q51_p5, KinC_x60_3a , LH2   , 10.538000,  5.878000,     16.480000,     16.720000,             407.000000,          4.660000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       4056, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x58_q51_p5, KinC_x60_3b , LH2   , 10.538000,  5.878000,     16.480000,     20.150000,             407.000000,          4.660000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       4076, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x58_q51_p5, KinC_x60_3p , LH2   , 10.540000,  5.878000,     16.480000,     17.720000,             307.000000,          4.662000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       2787, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x58_q60_p5, KinC_x60_4a , LH2   , 10.539000,  5.038000,     19.360000,     14.080000,             407.000000,          5.501000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       4224, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x58_q60_p5, KinC_x60_4b , LH2   , 10.538000,  5.038000,     19.360000,     17.510000,             407.000000,          5.500000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       4253, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
