day  , run , elastic_label          , Ibeam (uA), HMS mom, HMS angle, SHMS angle, calo angle, calo distance, target     , Beam pass, Collimator, prescale, event #, duration (min), Charge Accumulated, coin status, comments                                                                                                                                                                                 , source sheet     , source row
01/25, 3894, NPS elastic calibration,         40, 4.0782 ,    29.845,     33.469,     17.169, 9.5          , LH2        ,         5, L         , ps5=0   ,   50959,          49.28,              90.92,            , HMS Dipole NMR 1.1185200 T                                                                                                                                                               , 5p_commissionning,        217
01/25, 3895, NPS elastic calibration,         40, 4.0782 ,    29.845,     32.265,     15.965, 9.5          , LH2        ,         5, L         , ps5=0   ,   55536,          53.99,              85.34,            , HMS Dipole NMR 1.1185400 T                                                                                                                                                               , 5p_commissionning,        218
01/25, 3896, NPS elastic calibration,         40, 4.0782 ,    29.845,     32.265,     15.965, 9.5          , LH2        ,         5, L         , ps5=0   ,   66380,          54.85,             106.8 ,            , HMS Dipole NMR 1.1185400 T                                                                                                                                                               , 5p_commissionning,        219
01/25, 3897, NPS elastic calibration,         40, 4.0782 ,    29.845,     31.045,     14.745, 9.5          , LH2        ,         5, L         , ps5=0   ,   78880,          63.52,             121.5 ,            , HMS Dipole NMR 1.1185400 T                                                                                                                                                               , 5p_commissionning,        220
01/25, 3898, NPS elastic calibration,         40, 4.0782 ,    29.845,     31.045,     14.745, 9.5          , LH2        ,         5, L         , ps5=0   ,   38058,          28.84,              59.1 ,            , HMS Dipole NMR 1.1185400 T                                                                                                                                                               , 5p_commissionning,        221
02/18, 4469, NPS elastic calibration,         40, 4.06   ,    29.98 ,     31.099,     14.799, 9.5          , LH2        ,         5, l         , ps5=0   ,   63386,          62.6 ,              99.57,            , NPS Elastic calibration after the repair of columns 20-23                                                                                                                                , 5p_commissionning,        223
02/18, 4470, NPS elastic calibration,         40, 4.06   ,    29.98 ,     32.185,     15.885, 9.5          , LH2        ,         5, l         , ps5=0   ,   58614,          64.4 ,              93.95,            ,                                                                                                                                                                                          , 5p_commissionning,        224
03/10, 5183, NPS elastic calibration,         30, 4.31   ,    28.67 ,     31.865,     15.565, 9.5          , LH2        ,         5, L         , ps5=0   ,   90284,          31.03,              49.36,            , HMS Dipole NMR 1.17995 T                                                                                                                                                                 , 5p_commissionning,        227
03/10, 5184, NPS elastic calibration,         30, 4.31   ,    28.67 ,     31.865,     15.565, 9.5          , LH2        ,         5, L         , ps5=0   ,   74841,          29.43,              50.81,            ,                                                                                                                                                                                          , 5p_commissionning,        228
03/10, 5185, NPS elastic calibration,         30, 4.31   ,    28.67 ,     33.16 ,     16.86 , 9.5          , LH2        ,         5, L         , ps5=0   ,   73912,          29.45,              42.23,            ,                                                                                                                                                                                          , 5p_commissionning,        229
03/10, 5186, NPS elastic calibration,         30, 4.31   ,    28.67 ,     33.16 ,     16.86 , 9.5          , LH2        ,         5, L         , ps5=0   ,   74670,          29.23,              49.13,            ,                                                                                                                                                                                          , 5p_commissionning,        230
03/10, 5187, NPS elastic calibration,         30, 4.31   ,    28.67 ,     34.455,     18.155, 9.5          , LH2        ,         5, L         , ps5=0   ,  101975,          41.31,              41.57,            ,                                                                                                                                                                                          , 5p_commissionning,        231
03/10, 5188, NPS elastic calibration,         30, 4.31   ,    28.67 ,     34.455,     18.155, 9.5          , LH2        ,         5, L         , ps5=0   ,   78786,          31.38,              47.66,            ,                                                                                                                                                                                          , 5p_commissionning,        232
03/10, 5189, NPS elastic calibration,         30, 4.31   ,    28.67 ,     31.847,     15.547, 9.5          , LH2        ,         5, L         , ps5=0   ,   70644,          28.47,              46.46,            ,                                                                                                                                                                                          , 5p_commissionning,        233
03/10, 5190, NPS elastic calibration,         30, 4.31   ,    28.67 ,     31.847,     15.547, 9.5          , LH2        ,         5, L         , ps5=0   ,   71377,          28.39,              45.02,            ,                                                                                                                                                                                          , 5p_commissionning,        234
03/10, 5191, NPS elastic calibration,         30, 4.31   ,    28.67 ,     33.165,     16.865, 9.5          , LH2        ,         5, L         , ps5=0   ,   57649,          23.31,              16.5 ,            ,                                                                                                                                                                                          , 5p_commissionning,        235
03/10, 5192, NPS elastic calibration,         30, 4.31   ,    28.67 ,     33.165,     16.865, 9.5          , LH2        ,         5, L         , ps5=0   ,   78095,          31.44,              39.45,            ,                                                                                                                                                                                          , 5p_commissionning,        236
03/10, 5193, NPS elastic calibration,         30, 4.31   ,    28.67 ,     33.165,     16.865, 9.5          , LH2        ,         5, L         , ps5=0   ,   77185,          30.59,              49.77,            ,                                                                                                                                                                                          , 5p_commissionning,        237
03/10, 5194, NPS elastic calibration,         30, 4.31   ,    28.67 ,     34.46 ,     18.16 , 9.5          , LH2        ,         5, L         , ps5=0   ,   79303,          31.89,              46.39,            ,                                                                                                                                                                                          , 5p_commissionning,        238
03/10, 5195, NPS elastic calibration,         30, 4.31   ,    28.67 ,     34.46 ,     18.16 , 9.5          , LH2        ,         5, L         , ps5=0   ,   77268,          30.82,              51.5 ,            ,                                                                                                                                                                                          , 5p_commissionning,        239
03/10, 5196, NPS elastic calibration,         30, 4.31   ,    28.67 ,     31.847,     15.547, 9.5          , LH2        ,         5, L         , ps5=0   ,   79195,          31.54,              45.47,            ,                                                                                                                                                                                          , 5p_commissionning,        240
03/10, 5197, NPS elastic calibration,         30, 4.31   ,    28.67 ,     31.847,     15.547, 9.5          , LH2        ,         5, L         , ps5=0   ,   73865,          29.72,              46.75,            ,                                                                                                                                                                                          , 5p_commissionning,        241
03/10, 5198, NPS elastic calibration,         30, 4.31   ,    28.67 ,     33.155,     16.855, 9.5          , LH2        ,         5, L         , ps5=0   ,   73820,          29.57,              46.56,            ,                                                                                                                                                                                          , 5p_commissionning,        242
03/10, 5199, NPS elastic calibration,         30, 4.31   ,    28.67 ,     33.155,     16.855, 9.5          , LH2        ,         5, L         , ps5=0   ,   73640,          29.28,              40.3 ,            ,                                                                                                                                                                                          , 5p_commissionning,        243
03/10, 5200, NPS elastic calibration,         30, 4.31   ,    28.67 ,     34.453,     18.153, 9.5          , LH2        ,         5, L         , ps5=0   ,   78229,          31.32,              52.74,            ,                                                                                                                                                                                          , 5p_commissionning,        244
03/10, 5201, NPS elastic calibration,         30, 4.31   ,    28.67 ,     34.453,     18.153, 9.5          , LH2        ,         5, L         , ps5=0   ,   76295,          30.55,              52.5 ,            ,                                                                                                                                                                                          , 5p_commissionning,        245
03/10, 5202, NPS elastic calibration,         30, 4.31   ,    28.67 ,     31.845,     15.545, 9.5          , LH2        ,         5, L         , ps5=0   ,  102463,          41.46,              40.78,            ,                                                                                                                                                                                          , 5p_commissionning,        246
03/10, 5203, NPS elastic calibration,         30, 4.31   ,    28.67 ,     31.845,     15.545, 9.5          , LH2        ,         5, L         , ps5=0   ,   75726,          30.45,              51.95,            ,                                                                                                                                                                                          , 5p_commissionning,        247
03/10, 5204, NPS elastic calibration,         30, 4.31   ,    28.67 ,     33.17 ,     16.87 , 9.5          , LH2        ,         5, L         , ps5=0   ,   73637,          29.26,              49.28,            ,                                                                                                                                                                                          , 5p_commissionning,        248
03/10, 5205, NPS elastic calibration,         30, 4.31   ,    28.67 ,     33.17 ,     16.87 , 9.5          , LH2        ,         5, L         , ps5=0   ,   72664,          29.08,              49.13,            ,                                                                                                                                                                                          , 5p_commissionning,        249
03/10, 5206, NPS elastic calibration,         30, 4.31   ,    28.67 ,     34.47 ,     18.17 , 9.5          , LH2        ,         5, L         , ps5=0   ,   52173,          21.11,              11.06,            ,                                                                                                                                                                                          , 5p_commissionning,        250
03/10, 5207, NPS elastic calibration,         30, 4.31   ,    28.67 ,     34.47 ,     18.17 , 9.5          , LH2        ,         5, L         , ps5=0   ,   91354,          36.72,              56.11,            ,                                                                                                                                                                                          , 5p_commissionning,        251
03/10, 5208, NPS elastic calibration,         30, 4.31   ,    28.67 ,     31.845,     15.545, 9.5          , LH2        ,         5, L         , ps5=0   ,   60673,          24.53,              35.77,            ,                                                                                                                                                                                          , 5p_commissionning,        252
03/11, 5217, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     34.846,     18.546, 9.5          , LH2        ,         3, L         , ps5=0   ,   81532,          30   ,              48.76,            ,                                                                                                                                                                                          , 3p_commissionning,          3
03/11, 5219, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     34.846,     18.546, 9.5          , LH2        ,         3, L         , ps5=0   ,   78066,          39.48,              46.69,            ,                                                                                                                                                                                          , 3p_commissionning,          5
03/11, 5220, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     36.158,     19.858, 9.5          , LH2        ,         3, L         , ps5=0   ,   93392,          28.54,              42.99,            ,                                                                                                                                                                                          , 3p_commissionning,          6
03/11, 5221, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     36.158,     19.858, 9.5          , LH2        ,         3, L         , ps5=0   ,   76805,          34.99,              35.86,            ,                                                                                                                                                                                          , 3p_commissionning,          7
03/11, 5223, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     37.465,     21.165, 9.5          , LH2        ,         3, L         , ps5=0   ,   86300,          29.59,              44.67,            ,                                                                                                                                                                                          , 3p_commissionning,          9
03/11, 5224, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     37.465,     21.165, 9.5          , LH2        ,         3, L         , ps5=0   ,   12897,          11   ,               6.72,            , only 5mins of beam                                                                                                                                                                       , 3p_commissionning,         10
03/11, 5225, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     37.465,     21.165, 9.5          , LH2        ,         3, L         , ps5=0   ,   72898,          23.93,              37.92,            ,                                                                                                                                                                                          , 3p_commissionning,         11
03/11, 5226, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     34.86 ,     18.56 , 9.5          , LH2        ,         3, L         , ps5=0   ,   80111,          32.59,              47.31,            ,                                                                                                                                                                                          , 3p_commissionning,         12
03/11, 5227, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     34.86 ,     18.56 , 9.5          , LH2        ,         3, L         , ps5=0   ,   95010,          34.09,              56.5 ,            ,                                                                                                                                                                                          , 3p_commissionning,         13
03/11, 5228, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     36.155,     19.855, 9.5          , LH2        ,         3, L         , ps5=0   ,   94876,          29.88,              44.14,            ,                                                                                                                                                                                          , 3p_commissionning,         14
03/11, 5229, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     36.155,     19.855, 9.5          , LH2        ,         3, L         , ps5=0   ,   31573,          12.88,              14.62,            ,                                                                                                                                                                                          , 3p_commissionning,         15
03/11, 5230, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     36.155,     19.855, 9.5          , LH2        ,         3, L         , ps5=0   ,   64668,          18.64,              30.06,            ,                                                                                                                                                                                          , 3p_commissionning,         16
03/11, 5231, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     37.46 ,     21.16 , 9.5          , LH2        ,         3, L         , ps5=0   ,   93637,          28.97,              47.91,            ,                                                                                                                                                                                          , 3p_commissionning,         17
03/11, 5232, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     37.46 ,     21.16 , 9.5          , LH2        ,         3, L         , ps5=0   ,   86276,          46.01,              43.53,            ,                                                                                                                                                                                          , 3p_commissionning,         18
03/11, 5233, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     34.855,     18.555, 9.5          , LH2        ,         3, L         , ps5=0   ,   81166,          29.02,              47.61,            ,                                                                                                                                                                                          , 3p_commissionning,         19
03/11, 5234, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     34.855,     18.555, 9.5          , LH2        ,         3, L         , ps5=0   ,   77803,          29.64,              45.96,            ,                                                                                                                                                                                          , 3p_commissionning,         20
03/11, 5235, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     36.155,     19.855, 9.5          , LH2        ,         3, L         , ps5=0   ,   97749,          26.98,              45.31,            ,                                                                                                                                                                                          , 3p_commissionning,         21
03/11, 5236, Elastic Calibration    ,         30, 2.639  ,    35.96 ,     36.155,     19.855, 9.5          , LH2        ,         3, L         , ps5=0   ,   85369,          25.15,              39.1 ,            ,                                                                                                                                                                                          , 3p_commissionning,         22
04/03, 5508, E-P Elastic            ,         30,        ,    23    ,     37.95 ,           ,              , LH2        ,          ,           , ps4=0   ,  299302,          20.45,              20.85, off        , Nominal Hall C Target Positions Changetd to beam center in CH runs https://logbooks.jlab.org/entry/4272995; NPS Correctors off https://logbooks.jlab.org/entry/4272969; EDTM back to 40Hz, Special runs     ,         71
