day  , run , elastic_label          , Ibeam (uA), HMS mom, HMS angle, SHMS angle, calo angle, calo distance, target     , Beam pass, Collimator, prescale, event #, duration (min), Charge Accumulated, coin status, comments                                                                                                                                                                                 , source sheet     , source row
04/24, 6172, Elastic Calibration    ,         20, 3.1615 ,    30.765,     36.265,     22.965, 9.5          , LH2        ,         4, L         , ps5=0   ,   21366,          31.95,              27.18,            ,                                                                                                                                                                                          , 4p_commissionning,         29
04/24, 6173, Elastic Calibration    ,         20, 3.1615 ,    30.765,     35.06 ,     21.76 , 9.5          , LH2        ,         4, L         , ps5=0   ,   24274,          34.96,              29.18,            ,                                                                                                                                                                                          , 4p_commissionning,         30
04/24, 6174, Elastic Calibration    ,         20, 3.1615 ,    30.765,     35.06 ,     21.76 , 9.5          , LH2        ,         4, L         , ps5=0   ,   24307,          31.97,              30.98,            ,                                                                                                                                                                                          , 4p_commissionning,         31
04/24, 6175, Elastic Calibration    ,         20, 3.1615 ,    30.765,     33.855,     20.555, 9.5          , LH2        ,         4, L         , ps5=0   ,   23163,          32.31,              33.43,            ,                                                                                                                                                                                          , 4p_commissionning,         32
04/24, 6176, Elastic Calibration    ,         20, 3.1615 ,    30.765,     33.855,     20.555, 9.5          , LH2        ,         4, L         , ps5=0   ,   20737,          29.98,              28.9 ,            ,                                                                                                                                                                                          , 4p_commissionning,         33
04/24, 6177, Elastic Calibration    ,         20, 3.1615 ,    30.765,     36.262,     22.962, 9.5          , LH2        ,         4, L         , ps5=0   ,   21522,          31.29,              27.62,            ,                                                                                                                                                                                          , 4p_commissionning,         34
04/24, 6178, Elastic Calibration    ,         20, 3.1615 ,    30.765,     35.058,     21.758, 9.5          , LH2        ,         4, L         , ps5=0   ,   22004,          23.6 ,              30.18,            ,                                                                                                                                                                                          , 4p_commissionning,         35
04/24, 6179, Elastic Calibration    ,         30, 3.1615 ,    30.765,     33.85 ,     20.55 , 9.5          , LH2        ,         4, L         , ps5=0   ,   35501,          30.08,              59.92,            ,                                                                                                                                                                                          , 4p_commissionning,         36
04/24, 6180, Elastic Calibration    ,         38, 3.1615 ,    30.765,     33.85 ,     20.55 , 9.5          , LH2        ,         4, L         , ps5=0   ,   46708,          45.41,              72.59,            , Updated NPS HV                                                                                                                                                                           , 4p_commissionning,         37
04/24, 6182, Elastic Calibration    ,         38, 3.1615 ,    30.765,     35.053,     21.753, 9.5          , LH2        ,         4, L         , ps5=0   ,   55731,          44.07,              83.8 ,            , Updated NPS HV                                                                                                                                                                           , 4p_commissionning,         39
04/24, 6183, Elastic Calibration    ,         38, 3.1615 ,    30.765,     36.26 ,     22.96 , 9.5          , LH2        ,         4, L         , ps5=0   ,   45624,          42.34,              71.42,            , Updated NPS HV                                                                                                                                                                           , 4p_commissionning,         40
05/09, 6706, HMS Elastic Production ,         30, -4.042 ,    24.855,     37.505,     21.205, 3.5m         , LH2        ,         3, Large     , ps4=0   ,  245623,          30.02,              48.96,            ,                                                                                                                                                                                          , Special runs     ,        109
05/09, 6708, HMS Elastic Production ,         30, -4.042 ,    23.287,     37.505,     21.205, 3.5m         , LH2        ,         3, Large     , ps4=0   ,  185456,          16.4 ,              13.23,            ,                                                                                                                                                                                          , Special runs     ,        111
05/13, 6828, HMS Elastic Production ,         20, -4.042 ,    24.86 ,     37.5  ,     21.2  , 3.5m         , LH2        ,         3, Large     , ps4=0   ,  184254,          32.72,              32.87,            , "25psi, 58Hz"                                                                                                                                                                            , Special runs     ,        113
05/13, 6829, HMS Elastic Production ,         20, -4.042 ,    24.86 ,     37.5  ,     21.2  , 3.5m         , LH2        ,         3, Large     , ps4=0   ,  190845,          31.51,              35.98,            , "25psi, 58Hz"                                                                                                                                                                            , Special runs     ,        114
05/13, 6830, HMS Elastic Production ,         20, -4.042 ,    24.86 ,     37.5  ,     21.2  , 3.5m         , LH2        ,         3, Large     , ps4=0   ,  202179,          34.28,              37.72,            , "25psi, 58Hz"                                                                                                                                                                            , Special runs     ,        115
05/13, 6831, HMS Elastic Production ,         20, -4.042 ,    24.86 ,     37.5  ,     21.2  , 3.5m         , LH2        ,         3, Large     , ps4=0   ,  215411,          36.3 ,              38.54,            , "25psi, 52Hz"                                                                                                                                                                            , Special runs     ,        116
