Run,Avg_PS_Factor,Avg_Trig_Time,Charge,Tracking_Eff,Hgc_Eff,Hod_Eff,Lt_Edtm,Lt_Hms,Rate_Edtm,Rate_Phys,Rate_Hms34
1243,,24.9625,84645.398,0.9977,0.977969,0.998754,0.0,18.5117875,0.0,0.228,0.228
1245,,25.0,71190.321,0.9976,0.977103,0.998777,0.0,18.3965,0.0,0.399,0.399
1246,,24.9975,61643.528,0.9973,0.978501,0.998754,0.0,18.5133125,0.0,0.213,0.213
1248,,24.9975,57570.71,0.9977,0.978747,0.998651,0.0,18.5015875,0.0,0.218,0.218
1249,,5.555555555555555e+37,16929.7225,0.9973,0.9953135,0.999177,3.7499999999999997e+37,3.7499999999999997e+37,0.0,10.482,10.482
1250,,24.9925,39331.462,0.9967,0.998389,0.99983,0.0,17.8682125,0.0,0.358,0.358
1251,,24.9975,34978.449,0.9965,0.99873,0.999716,0.0,15.254775,0.0,0.186,0.186
1252,,24.9975,23551.575,0.9955,0.997878,0.999719,0.0,15.196137499999999,0.0,0.192,0.192
1253,,50.0,52799.238,0.9932,0.997137,0.999254,0.0,-0.005987499999999812,0.0,0.126,0.126
1259,,49.995,73799.208,0.9936,0.997831,0.998869,0.0,-2.163525,0.0,0.133,0.133
1262,,24.9975,76555.98,0.9976,0.966392,0.998565,0.0,17.9840875,0.0,0.376,0.376
1263,,8.97435897435898e+37,29227.146,0.9976375000000001,0.9649224999999999,0.998519875,6.562500000000006e+37,6.562500000000006e+37,0.0,0.5743750000000001,0.5743750000000001
1264,,8.620689655172413e+37,44405.13366666667,0.9974500000000001,0.9663123333333333,0.9985738333333334,6.2500000000000015e+37,6.2500000000000015e+37,0.0,0.25633333333333336,0.25633333333333336
1265,,8.620689655172413e+37,43431.625166666665,0.9979166666666668,0.9676138333333334,0.9986221666666667,6.2500000000000015e+37,6.2500000000000015e+37,0.0,0.2785,0.2785
1266,,9.895833333333306e+37,24070.04941025641,0.99721282051282,0.9930079230769232,0.9989851538461539,7.307692307692288e+37,7.307692307692288e+37,0.0,12.687538461538455,12.687538461538455
1267,,8.823529411764707e+37,62614.176250000004,0.9968250000000001,0.9978239999999999,0.99981475,5.625e+37,5.625e+37,0.0,0.214,0.214
1268,,7.142857142857142e+37,102687.395,0.996,0.9977795,0.999593,3.7499999999999997e+37,3.7499999999999997e+37,0.0,0.14200000000000002,0.14200000000000002
1269,,49.995,101509.557,0.9943,0.995865,0.99859,0.0,-1.471562500000001,0.0,0.1,0.1
1534,,8.823529411764707e+37,32085.53575,0.9954999999999999,0.99851475,0.9995890000000001,5.625e+37,5.625e+37,0.1,0.26675000000000004,0.36650000000000005
1535,,9.375000000000002e+37,29079.04542857143,0.9960857142857142,0.9986724285714287,0.9998038571428571,6.428571428571433e+37,6.428571428571433e+37,0.09999999999999999,0.4628571428571428,0.5627142857142858
1536,,9.523809523809533e+37,25060.322,0.9966555555555556,0.9983153333333331,0.9998431111111111,6.666666666666674e+37,6.666666666666674e+37,0.09999999999999999,0.8792222222222221,0.979111111111111
1537,,1e+38,0.0,0.0,0.0,0.0,7.499999999999999e+37,7.499999999999999e+37,0.0,0.0,0.0
1538,,9.09090909090909e+37,23983.214,0.9975799999999999,0.9857652,0.9991944,5.9999999999999995e+37,5.9999999999999995e+37,0.1,0.1838,0.2838
1539,,9.459459459459465e+37,55199.975374999995,0.9974,0.9867552500000001,0.9991694999999999,6.562500000000006e+37,6.562500000000006e+37,0.09999999999999999,0.135625,0.23562499999999997
1540,,9.375000000000002e+37,47173.67,0.9972714285714285,0.9869012857142857,0.999216857142857,6.428571428571433e+37,6.428571428571433e+37,0.09999999999999999,0.12542857142857142,0.22542857142857145
1542,,50.0,9.567,0.0,0.0,0.0,-25.0,-12.772725,0.1,0.0,0.0
1543,,50.0,2091.728,0.9991,0.985654,0.998936,-24.999775,-13.283225,0.1,0.203,0.303
1544,,49.995,109486.998,0.9973,0.986351,0.999159,-25.00795,-16.800850000000004,0.1,0.244,0.344
1545,,49.975,41760.913,0.9969,0.998275,0.999831,-25.027875,-17.222875000000002,0.1,0.917,1.017
1546,,49.99,64997.474,0.9961,0.998743,0.999819,-25.01095,-18.6028625,0.1,0.491,0.591
1547,,33.333333333333336,18644.647,0.9956,0.998868,0.999654,-25.00135,-5.70085,0.1,0.25,0.349
1548,,33.33,45037.712,0.9955,0.998597,0.999637,-25.002625,-6.11215,0.1,0.279,0.379
1572,,9.375000000000002e+37,5708.655571428571,0.9973285714285713,0.9936502857142856,0.9992882857142857,6.428571428571433e+37,6.428571428571433e+37,0.06,7.429571428571428,7.489571428571429
1574,,9.876543209876528e+37,27495.8836060606,0.9971999999999999,0.9925908787878788,0.9991706363636366,7.2727272727272515e+37,7.2727272727272515e+37,0.06000000000000004,11.060151515151512,11.12012121212121
1575,,9.793814432989709e+37,13727.162400000001,0.9972249999999999,0.9932647000000001,0.9992766000000002,7.125000000000011e+37,7.125000000000011e+37,1620.0048499999998,-1610.3346,9.45
1576,,9.649122807017556e+37,17621.05775,0.9971916666666666,0.9935206666666666,0.9991585833333333,6.875000000000011e+37,6.875000000000011e+37,0.06000000000000002,9.368916666666669,9.428833333333333
1577,,9.375000000000002e+37,18875.59685714286,0.9973000000000001,0.9936888571428572,0.9992,6.428571428571433e+37,6.428571428571433e+37,0.06,8.837,8.897
1578,,9.722222222222238e+37,37802.54593333333,0.9972066666666665,0.9935556666666667,0.9991204666666668,7.000000000000012e+37,7.000000000000012e+37,0.060000000000000026,9.0606,9.120533333333334
