Cut Set,X Range (cm),Y Range (cm),Events Passing,Total Events,Efficiency,Error (%)
Loose (ROOT bounds),"[-32.0, 32.0]","[-38.0, 38.0]",202247,500000,40.4494%,49.0794%
Strict (nps_helper.h),"[-30.0, 30.0]","[-36.0, 36.0]",182082,500000,36.4164%,48.1195%
