Run Number | Residual Index | Sigma Calibrated
5244 | 6 | 0.0222
5244 | 7 | 0.0222
5244 | 8 | 0.0217
5244 | 9 | 0.0221
5244 | 10 | 0.0219
5244 | 11 | 0.0228
3098 | 0 | 0.0224
3098 | 1 | 0.0222
3098 | 2 | 0.0249
3098 | 3 | 0.0231
3098 | 4 | 0.0205
3098 | 5 | 0.0211
3098 | 6 | 0.0194
3098 | 7 | 0.0194
3098 | 8 | 0.0197
3098 | 9 | 0.0198
3098 | 10 | 0.0192
3098 | 11 | 0.0204
3804 | 0 | 0.0271
3804 | 1 | 0.0265
3804 | 2 | 0.0324
3804 | 3 | 0.0294
3804 | 4 | 0.0249
3804 | 5 | 0.0258
3804 | 6 | 0.0243
3804 | 7 | 0.0243
3804 | 8 | 0.0242
3804 | 9 | 0.0244
3804 | 10 | 0.0239
3804 | 11 | 0.0251
6873 | 0 | 0.0220
6873 | 1 | 0.0216
6873 | 2 | 0.0260
6873 | 3 | 0.0237
6873 | 4 | 0.0203
6873 | 5 | 0.0211
6873 | 6 | 0.0197
6873 | 7 | 0.0198
6873 | 8 | 0.0196
6873 | 9 | 0.0198
6873 | 10 | 0.0197
6873 | 11 | 0.0205
6428 | 0 | 0.0247
6428 | 1 | 0.0244
6428 | 2 | 0.0281
6428 | 3 | 0.0263
6428 | 4 | 0.0227
6428 | 5 | 0.0237
6428 | 6 | 0.0222
6428 | 7 | 0.0222
6428 | 8 | 0.0216
6428 | 9 | 0.0220
6428 | 10 | 0.0221
6428 | 11 | 0.0233
3017 | 0 | 0.0213
3017 | 1 | 0.0211
3017 | 2 | 0.0231
3017 | 3 | 0.0217
3017 | 4 | 0.0198
3017 | 5 | 0.0203
3017 | 6 | 0.0185
3017 | 7 | 0.0186
3017 | 8 | 0.0191
3017 | 9 | 0.0192
3017 | 10 | 0.0182
3017 | 11 | 0.0191
4668 | 0 | 0.0294
4668 | 1 | 0.0288
4668 | 2 | 0.0328
4668 | 3 | 0.0309
4668 | 4 | 0.0273
4668 | 5 | 0.0286
4668 | 6 | 0.0261
4668 | 7 | 0.0259
4668 | 8 | 0.0252
4668 | 9 | 0.0255
4668 | 10 | 0.0255
4668 | 11 | 0.0270
6475 | 0 | 0.0260
6475 | 1 | 0.0256
6475 | 2 | 0.0295
6475 | 3 | 0.0274
6475 | 4 | 0.0239
6475 | 5 | 0.0246
6475 | 6 | 0.0236
6475 | 7 | 0.0234
6475 | 8 | 0.0223
6475 | 9 | 0.0228
6475 | 10 | 0.0233
6475 | 11 | 0.0247
2990 | 0 | 0.0204
2990 | 1 | 0.0204
2990 | 2 | 0.0224
2990 | 3 | 0.0210
2990 | 4 | 0.0190
2990 | 5 | 0.0193
