5356 | 0 | 0.2588
5356 | 1 | 0.2588
5356 | 2 | 0.2512
5356 | 3 | 0.2588
5356 | 4 | 0.2588
5356 | 5 | 0.2588
5356 | 6 | 0.2498
5356 | 7 | 0.2588
5356 | 8 | 0.2498
5356 | 9 | 0.2498
5356 | 10 | 0.2512
5356 | 11 | 0.2588
5992 | 0 | 0.2588
5992 | 1 | 0.2588
5992 | 2 | 0.2588
5992 | 3 | 0.2588
5992 | 4 | 0.2588
5992 | 5 | 0.2512
5992 | 6 | 0.2588
5992 | 7 | 0.2569
5992 | 8 | 0.2588
5992 | 9 | 0.2516
5992 | 10 | 0.2427
5992 | 11 | 0.2588
6712 | 0 | 0.0000
6712 | 1 | 0.0000
6712 | 2 | 0.0000
6712 | 3 | 0.0000
6712 | 4 | 0.0000
6712 | 5 | 0.0000
6712 | 6 | 0.0000
6712 | 7 | 0.0000
6712 | 8 | 0.0000
6712 | 9 | 0.0000
6712 | 10 | 0.0000
6712 | 11 | 0.0000
5171 | 0 | 0.0243
5171 | 1 | 0.0247
5171 | 2 | 0.0263
5171 | 3 | 0.0251
5171 | 4 | 0.0228
5171 | 5 | 0.0231
5171 | 6 | 0.0218
5171 | 7 | 0.0215
5171 | 8 | 0.0220
5171 | 9 | 0.0222
5171 | 10 | 0.0212
5171 | 11 | 0.0221
6566 | 0 | 0.2588
6566 | 1 | 0.2588
6566 | 2 | 0.2588
6566 | 3 | 0.2512
6566 | 4 | 0.2512
6566 | 5 | 0.2588
6566 | 6 | 0.2588
6566 | 7 | 0.2524
6566 | 8 | 0.2588
6566 | 9 | 0.2588
6566 | 10 | 0.2588
6566 | 11 | 0.2512
6480 | 0 | 0.2588
6480 | 1 | 0.2484
6480 | 2 | 0.2512
6480 | 3 | 0.2386
6480 | 4 | 0.2588
6480 | 5 | 0.2588
6480 | 6 | 0.2588
6480 | 7 | 0.2588
6480 | 8 | 0.2588
6480 | 9 | 0.2588
6480 | 10 | 0.2588
6480 | 11 | 0.2588
6475 | 0 | 0.2588
6475 | 1 | 0.2512
6475 | 2 | 0.2498
6475 | 3 | 0.2512
6475 | 4 | 0.2512
6475 | 5 | 0.2588
6475 | 6 | 0.2588
6475 | 7 | 0.2588
6475 | 8 | 0.2498
6475 | 9 | 0.2498
6475 | 10 | 0.2512
6475 | 11 | 0.2588
6593 | 0 | 0.2588
6593 | 1 | 0.2512
6593 | 2 | 0.0000
6593 | 3 | 0.2588
6593 | 4 | 0.2588
6593 | 5 | 0.2512
6593 | 6 | 0.2512
6593 | 7 | 0.2498
6593 | 8 | 0.2588
6593 | 9 | 0.2588
6593 | 10 | 0.2498
6593 | 11 | 0.2512
6376 | 0 | 0.0000
6376 | 1 | 0.0000
6376 | 2 | 0.0000
6376 | 3 | 0.0000
6376 | 4 | 0.0000
6376 | 5 | 0.0000
6376 | 6 | 0.0000
6376 | 7 | 0.0000
6376 | 8 | 0.0000
6376 | 9 | 0.0000
6376 | 10 | 0.0000
6376 | 11 | 0.0000
6151 | 0 | 0.0303
6151 | 1 | 0.0292
6151 | 2 | 0.0363
6151 | 3 | 0.0337
6151 | 4 | 0.0292
6151 | 5 | 0.0299
6151 | 6 | 0.0296
6151 | 7 | 0.0298
6151 | 8 | 0.0276
6151 | 9 | 0.0281
6151 | 10 | 0.0306
6151 | 11 | 0.0314
6426 | 0 | 0.2588
6426 | 1 | 0.2588
6426 | 2 | 0.2512
6426 | 3 | 0.2588
6426 | 4 | 0.2588
6426 | 5 | 0.2512
6426 | 6 | 0.2498
6426 | 7 | 0.2512
6426 | 8 | 0.2588
6426 | 9 | 0.2588
6426 | 10 | 0.2588
6426 | 11 | 0.2588
6807 | 0 | 0.2588
6807 | 1 | 0.2588
6807 | 2 | 0.2498
6807 | 3 | 0.2588
6807 | 4 | 0.2588
6807 | 5 | 0.2512
6807 | 6 | 0.2588
6807 | 7 | 0.2498
6807 | 8 | 0.2238
6807 | 9 | 0.2474
6807 | 10 | 0.2588
6807 | 11 | 0.2588
6325 | 0 | 0.2468
6325 | 1 | 0.2588
6325 | 2 | 0.2498
6325 | 3 | 0.2588
6325 | 4 | 0.2588
6325 | 5 | 0.2588
6325 | 6 | 0.2498
6325 | 7 | 0.0000
6325 | 8 | 0.2588
6325 | 9 | 0.2588
6325 | 10 | 0.2588
6325 | 11 | 0.2588
5184 | 0 | 0.0303
5184 | 1 | 0.0290
